country,article,sales,regular_price,current_price,ratio,retailweek,promo1,promo2,customer_id,article,productgroup,category,cost,style,sizes,gender,rgb_r_main_col,rgb_g_main_col,rgb_b_main_col,rgb_r_sec_col,rgb_g_sec_col,rgb_b_sec_col,label
Germany,YN8639,28,5.95,3.95,0.663865546218487,2016-03-27,0,0,1003.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,0
Germany,YN8639,28,5.95,3.95,0.663865546218487,2016-03-27,0,0,1003.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,0
Germany,YN8639,28,5.95,3.95,0.663865546218487,2016-03-27,0,0,1003.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,0
Germany,YN8639,28,5.95,3.95,0.663865546218487,2016-03-27,0,0,1003.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,0
Germany,YN8639,28,5.95,3.95,0.663865546218487,2016-03-27,0,0,1003.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,0
Germany,YN8639,28,5.95,3.95,0.663865546218487,2016-03-27,0,0,1003.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,1
Germany,YN8639,28,5.95,3.95,0.663865546218487,2016-03-27,0,0,1003.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,0
Germany,YN8639,28,5.95,3.95,0.663865546218487,2016-03-27,0,0,1003.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,1
Germany,YN8639,28,5.95,3.95,0.663865546218487,2016-03-27,0,0,1003.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,0
Germany,YN8639,28,5.95,3.95,0.663865546218487,2016-03-27,0,0,1003.0,AC7347,SHOES,FOOTBALL GENERIC,8.7,regular,"xxs,xs,s,m,l,xl,xxl",men,139,137,137,205,155,155,1
Germany,CF3238,27,37.95,28.95,0.7628458498023709,2015-01-25,0,0,1649.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,0
Germany,CF3238,27,37.95,28.95,0.7628458498023709,2015-01-25,0,0,1649.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,0
Germany,CF3238,27,37.95,28.95,0.7628458498023709,2015-01-25,0,0,1649.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,0
Germany,CF3238,27,37.95,28.95,0.7628458498023709,2015-01-25,0,0,1649.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,1
Germany,CF3238,27,37.95,28.95,0.7628458498023709,2015-01-25,0,0,1649.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,0
Germany,CF3238,27,37.95,28.95,0.7628458498023709,2015-01-25,0,0,1649.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,1
Germany,CF3238,27,37.95,28.95,0.7628458498023709,2015-01-25,0,0,1649.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,0
Germany,CF3238,27,37.95,28.95,0.7628458498023709,2015-01-25,0,0,1649.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,1
Germany,CF3238,27,37.95,28.95,0.7628458498023709,2015-01-25,0,0,1649.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,0
Germany,CF3238,27,37.95,28.95,0.7628458498023709,2015-01-25,0,0,1649.0,AC7347,SHOES,FOOTBALL GENERIC,8.7,regular,"xxs,xs,s,m,l,xl,xxl",men,139,137,137,205,155,155,0
Germany,WR9459,59,57.95,44.95,0.7756686798964619,2017-01-29,0,0,936.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,0
Germany,WR9459,59,57.95,44.95,0.7756686798964619,2017-01-29,0,0,936.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,1
Germany,WR9459,59,57.95,44.95,0.7756686798964619,2017-01-29,0,0,936.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,0
Germany,WR9459,59,57.95,44.95,0.7756686798964619,2017-01-29,0,0,936.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,1
Germany,WR9459,59,57.95,44.95,0.7756686798964619,2017-01-29,0,0,936.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,0
Germany,WR9459,59,57.95,44.95,0.7756686798964619,2017-01-29,0,0,936.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,0
Germany,WR9459,59,57.95,44.95,0.7756686798964619,2017-01-29,0,0,936.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,0
Germany,WR9459,59,57.95,44.95,0.7756686798964619,2017-01-29,0,0,936.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,0
Germany,WR9459,59,57.95,44.95,0.7756686798964619,2017-01-29,0,0,936.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,0
Germany,WR9459,59,57.95,44.95,0.7756686798964619,2017-01-29,0,0,936.0,AC7347,SHOES,FOOTBALL GENERIC,8.7,regular,"xxs,xs,s,m,l,xl,xxl",men,139,137,137,205,155,155,0
Austria,EF2771,72,28.95,18.95,0.654576856649395,2017-02-26,0,0,4943.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,0
Austria,EF2771,72,28.95,18.95,0.654576856649395,2017-02-26,0,0,4943.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,1
Austria,EF2771,72,28.95,18.95,0.654576856649395,2017-02-26,0,0,4943.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,0
Austria,EF2771,72,28.95,18.95,0.654576856649395,2017-02-26,0,0,4943.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,0
Austria,EF2771,72,28.95,18.95,0.654576856649395,2017-02-26,0,0,4943.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,1
Austria,EF2771,72,28.95,18.95,0.654576856649395,2017-02-26,0,0,4943.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,0
Austria,EF2771,72,28.95,18.95,0.654576856649395,2017-02-26,0,0,4943.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,0
Austria,EF2771,72,28.95,18.95,0.654576856649395,2017-02-26,0,0,4943.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,0
Austria,EF2771,72,28.95,18.95,0.654576856649395,2017-02-26,0,0,4943.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,1
