age,account,if_marital,if_default,if_housing,if_loan,if_active_selling,duration,label,occupation_cleaner,occupation_management,occupation_own-business,occupation_production,occupation_retired,occupation_services,occupation_student,occupation_technician,occupation_unemployed,education_primary,education_secondary,education_unknown
41,2408,no,no,no,no,no,122,0,no,yes,no,no,no,no,no,no,no,no,no,no
59,4007,yes,no,no,no,no,157,0,no,no,no,no,yes,no,no,no,no,yes,no,no
35,482,yes,no,no,no,no,129,0,no,yes,no,no,no,no,no,no,no,no,no,no
49,0,yes,no,yes,no,no,772,0,no,no,no,no,no,no,no,no,yes,no,no,no
23,834,no,no,yes,no,no,283,0,no,no,no,no,no,no,yes,no,no,no,yes,no
30,3625,no,no,yes,no,no,469,0,no,yes,no,no,no,no,no,no,no,no,no,no
39,1837,no,no,no,no,yes,199,0,no,no,yes,no,no,no,no,no,no,no,no,no
59,3165,yes,no,yes,no,no,278,0,no,yes,no,no,no,no,no,no,no,no,no,no
55,1693,no,no,no,no,yes,247,0,no,no,no,no,no,no,no,no,no,no,yes,no
39,2805,yes,no,yes,no,no,102,0,no,no,no,yes,no,no,no,no,no,yes,no,no
55,29484,no,no,no,no,no,151,0,no,yes,no,no,no,no,no,no,no,no,no,no
58,413,yes,no,no,no,no,104,0,no,no,no,no,yes,no,no,no,no,no,yes,no
59,352,yes,no,no,no,no,132,0,yes,no,no,no,no,no,no,no,no,yes,no,no
39,263,no,no,yes,no,yes,160,0,no,no,no,yes,no,no,no,no,no,no,no,no
34,296,no,no,no,no,no,609,1,no,no,yes,no,no,no,no,no,no,no,yes,no
49,935,yes,no,no,yes,yes,150,0,yes,no,no,no,no,no,no,no,no,yes,no,no
37,0,yes,no,yes,no,yes,59,0,no,yes,no,no,no,no,no,no,no,no,no,no
34,24,yes,no,yes,no,yes,124,0,no,no,no,no,no,yes,no,no,no,no,yes,no
52,1161,no,no,yes,no,yes,271,0,no,no,no,no,no,no,no,yes,no,no,yes,no
26,12,no,no,no,no,no,72,0,no,no,no,no,no,yes,no,no,no,no,no,no
45,142,yes,no,yes,yes,no,110,0,no,no,no,no,no,no,no,no,no,no,yes,no
80,1861,yes,no,no,no,no,563,0,no,no,no,no,yes,no,no,no,no,yes,no,no
40,4,no,no,yes,no,no,171,0,no,no,no,no,no,yes,no,no,no,yes,no,no
35,1078,yes,no,yes,no,no,48,0,no,yes,no,no,no,no,no,no,no,no,no,no
23,314,no,no,no,yes,no,142,1,no,no,no,no,no,no,no,no,no,no,no,no
48,235,yes,no,yes,no,no,58,0,no,no,no,yes,no,no,no,no,no,yes,no,no
49,2809,yes,no,yes,no,no,152,0,no,yes,no,no,no,no,no,no,no,no,no,no
33,5437,no,no,no,no,yes,267,1,no,yes,no,no,no,no,no,no,no,no,no,no
25,137,no,no,yes,no,no,281,0,no,yes,no,no,no,no,no,no,no,no,no,no
39,3,no,no,no,yes,yes,206,0,no,no,no,no,no,yes,no,no,no,no,yes,no
30,618,yes,no,no,no,no,78,0,no,no,no,yes,no,no,no,no,no,no,yes,no
37,-325,yes,no,yes,yes,no,112,0,no,no,no,yes,no,no,no,no,no,yes,no,no
52,0,yes,no,yes,no,no,636,0,no,no,no,no,no,no,no,yes,no,no,yes,no
49,1164,no,no,yes,no,yes,72,0,no,no,no,yes,no,no,no,no,no,yes,no,no
34,1,yes,no,yes,no,no,165,0,no,no,no,no,no,no,no,yes,no,no,yes,no
36,1548,yes,no,yes,yes,no,226,0,no,no,no,yes,no,no,no,no,no,yes,no,no
43,511,yes,no,yes,yes,no,191,0,no,no,no,no,no,no,no,no,yes,no,yes,no
42,2913,yes,no,no,no,yes,705,1,no,no,no,yes,no,no,no,no,no,no,yes,no
26,125,no,no,no,no,yes,92,0,no,no,no,no,no,no,no,no,no,no,yes,no
33,89,yes,no,yes,no,no,278,1,no,no,no,yes,no,no,no,no,no,no,yes,no
42,4960,yes,no,no,no,yes,139,0,no,no,yes,no,no,no,no,no,no,no,no,no
42,60,no,no,yes,yes,no,183,0,no,no,no,no,no,no,no,yes,no,no,yes,no
51,492,yes,no,yes,no,no,142,0,yes,no,no,no,no,no,no,no,no,yes,no,no
54,2749,no,no,yes,no,no,341,0,no,no,no,no,no,no,no,yes,no,no,yes,no
47,151,yes,no,yes,no,yes,190,0,no,no,no,no,no,no,no,yes,no,no,no,no
52,1515,yes,no,no,no,no,20,0,no,no,no,yes,no,no,no,no,no,yes,no,no
59,0,no,no,yes,no,no,604,0,no,no,no,no,no,no,no,no,no,yes,no,no
54,2102,yes,no,yes,no,yes,76,0,no,no,no,yes,no,no,no,no,no,yes,no,no
29,25,yes,no,yes,no,no,50,0,no,no,no,yes,no,no,no,no,no,no,yes,no
60,2047,no,no,yes,no,no,241,0,no,no,no,no,yes,no,no,no,no,no,yes,no
49,0,yes,no,no,no,no,159,0,no,no,no,no,no,no,no,no,no,no,yes,no
47,5049,yes,no,no,no,no,47,0,no,yes,no,no,no,no,no,no,no,no,no,no
34,1047,yes,no,no,no,yes,342,0,no,yes,no,no,no,no,no,no,no,no,no,no
28,376,yes,no,no,yes,no,49,0,no,no,no,no,no,yes,no,no,no,no,yes,no
32,28,no,no,yes,no,yes,368,0,no,no,no,no,no,no,no,yes,no,no,yes,no
40,1744,no,no,yes,no,no,465,0,no,no,no,no,no,no,no,no,yes,no,yes,no
35,2179,yes,no,no,no,yes,207,0,no,no,no,no,no,yes,no,no,no,no,yes,no
33,-103,yes,no,yes,no,yes,268,0,no,no,yes,no,no,no,no,no,no,no,no,no
44,0,yes,no,yes,yes,no,286,0,no,no,no,no,no,no,no,yes,no,no,no,no
50,1098,yes,no,no,no,no,174,0,yes,no,no,no,no,no,no,no,no,yes,no,no
33,-634,no,no,yes,yes,no,163,0,no,yes,no,no,no,no,no,no,no,no,no,no
41,221,yes,no,yes,no,no,57,0,no,no,yes,no,no,no,no,no,no,no,no,no
27,0,no,no,yes,no,no,552,0,no,no,no,no,no,no,no,no,no,no,yes,no
29,73,yes,no,yes,no,no,252,0,no,no,no,no,no,no,no,no,no,no,yes,no
27,3,yes,no,yes,no,no,159,0,no,no,no,no,no,no,no,no,no,no,yes,no
38,23,no,no,no,no,yes,194,0,no,no,no,no,no,no,no,yes,no,no,no,no
35,0,yes,no,no,no,no,271,0,no,no,no,no,no,no,no,yes,no,no,yes,no
40,3797,no,no,no,no,yes,263,0,no,yes,no,no,no,no,no,no,no,no,no,no
48,161,yes,no,yes,no,no,224,0,no,yes,no,no,no,no,no,no,no,no,yes,no
45,0,no,no,yes,yes,yes,173,0,no,no,no,no,no,yes,no,no,no,no,yes,no
50,5,yes,no,no,no,yes,24,0,no,yes,no,no,no,no,no,no,no,no,yes,no
31,1385,yes,no,no,no,no,116,0,no,no,no,no,no,no,no,yes,no,no,no,no
23,836,yes,no,yes,no,yes,674,0,no,no,no,no,no,no,no,no,no,no,yes,no
32,1145,no,no,yes,no,yes,580,0,no,yes,no,no,no,no,no,no,no,no,no,no
50,556,yes,no,yes,no,no,130,0,no,no,yes,no,no,no,no,no,no,no,yes,no
